# FRONT	BACK
What design pattern composes objects into tree structures to represent part-whole hierarchies?	Composite pattern
What is the Decorator pattern?	Attaches additional responsibilities to an object dynamically. Provides a flexible alternative to sub-classing for extending functionality.
What design pattern attaches additional responsibilities to an object dynamically and provides a flexible alternative to sub-classing for extending functionality?	Decorator pattern
What is the Facade pattern?	Provides a unified interface to a set of interfaces in a subsystem. Defines a high-level interface that makes the subsystem easier to use.
What design pattern provides a unified interface to a set of interfaces in a subsystem and defines a high-level interface that makes the subsystem easier to use.	Facade pattern
What is the Flyweight pattern?	Uses sharing to support large numbers of fine-grained objects efficiently.
What design pattern uses sharing to support large numbers of fine-grained objects efficiently?	Flyweight pattern
What is the Proxy pattern?	Provides a surrogate or placeholder for another object to control access to it.
What design pattern provides a surrogate or placeholder for another object to control access to it?	Proxy pattern
What is the Abstract Factory pattern?	Provides an interface for creating families of related or dependent objects without specifying their concrete class.
What design pattern provides an interface for creating families of related or dependent objects without specifying their concrete class?	Abstract Factory pattern
What is the Builder pattern?	Separates the construction of a complex object from its representation, so the same construction process can create different representations.
What design pattern separates the construction of a complex object from its representation, so the same construction process can create different representations?	Builder pattern.
What is the Factory Method pattern?	"(Technically it's an idiom)
Defines an interface for creating an object, but lets subclasses decide which class to instantiate. Lets a class defer instantiation to subclasses."
What design pattern defines an interface for creating an object, but lets subclasses decide which class to instantiate?	Factory method (technically an idiom, not a design pattern)
What is the Prototype pattern?	Specifies the kinds of objects to create using a prototypical instance, and creates new objects by copying this prototype.
What design pattern specifies the kinds of objects to create using a prototypical instance, and creates new objects by copying this prototype?	Prototype pattern
What is the Singleton pattern?	Ensures a class only has one instance and provides a global point of access to it.
What design pattern ensures a class only has one instance and provides a global point of access to it?	Singleton pattern
What are design patterns?	Recurring, reusable solutions to common class and class relationship problems.
What is the Law of Demeter?	"Each unit should have only limited knowledge about other units - only units ""closely"" related to the current unit. Each unit should only talk to friends, not strangers. Only talk to immediate friends."
If a cache line size is 64B, and the memory bus is 64 bits wide, how many transfers per cache line?	8
What does an exclusive cache style?	An eviction from L1D pushes the cache line down into L2, which has the same cache line size. Each eviction is progressively more expensive.
What manufacturer uses an exclusive cache style?	AMD
How does an inclusive cache style work?	Each cache line in L1D is also in L2. This makes L1D eviction faster.
What manufacturer uses an inclusive cache style?	Intel
What is the Fast Fourier Transform?	A fast Fourier transform (FFT) algorithm computes the discrete Fourier transform (DFT) of a sequence, or its inverse. Fourier analysis converts a signal from its original domain (often time or space) to a representation in the frequency domain and vice versa. An FFT rapidly computes such transformations by factorizing the DFT matrix into a product of sparse (mostly zero) factors.
What is a skip list?	"A data structure that allows fast search within an ordered sequence of elements. Fast search is made possible by maintaining a linked hierarchy of subsequences, with each successive subsequence skipping over fewer elements than the previous one. Searching starts in the sparsest subsequence until two consecutive elements have been found, one smaller and one larger than or equal to the element searched for.

A skip list is built in layers. The bottom layer is an ordinary ordered linked list. Each higher layer acts as an ""express lane"" for the lists below, where an element in layer i appears in layer i+1 with some fixed probability p (two commonly used values for p are 1/2 or 1/4)."
What operations does a skip list support and what is their avg and worst case times?	"search: O(log n) O(n)
insert: O(log n) O(n)
delete: O(log n) O(n)"
What operations does a van Emde Boas tree support and what are the time complexities?	"All are O(log log M), where M is the total number of items that can be stored = 2^m
Or O(log m) where m is the actual number of items stored
Space: O(M)

Search
Insert
Delete
Predecessor
Successor"
What are the complexities for treap operations?	"For all the basic maintenance operations, they are O(log n) average case and O(n) worst case.
- Search
- Insert
- Delete

For these operations, O(m log n/m) for treaps of sizes m and n, with m ≤ n. 
- union
- intersection
- difference"
What are Catalan numbers?	Catalan numbers form a sequence of natural numbers that occur in various counting problems, often involving recursively-defined objects. They can be thought of as the set of balanced parentheses.
What is Karatsuba multiplication?	"It reduces the multiplication of two n-digit numbers to at most n^1.585 single-digit multiplications in general (and exactly n^log(base2)3 when n is a power of 2). The Karatsuba algorithm was the first multiplication algorithm asymptotically faster than the quadratic ""grade school"" algorithm."
What is the time complexity of Ford-Fulkerson?	O(E max|f|)
16^0 ?	1
16^1 ?	16
16^2 ?	256
16^3 ?	4096
16^4 ?	65,536
16^5 ?	1,048,576
16^6 ?	16 million
16^7	268 million
16^8 ?	4.294 billion, same as 2^32
What is 0xB in decimal?	11
What is 0xC in decimal?	12
What is 0xD in decimal?	13
What is 0xE in decimal?	14
What is 0xF in decimal?	15
What is 0xA in decimal?	10
What is 0xA in binary?	1010
What is 0xB in binary?	1011
What is 0xC in binary?	1100
What is 0xD in binary?	1101
What is 0xE in binary?	1110
What is 0xF in binary?	1111
How are the priorities of a treap assigned?	Randomly generated upon insertion. That randomness is used to keep the tree balanced.
Give an example of a proposition in conjunctive normal form.	(A + ~B)(A + B)
How does a half-adder handle an addition?	XOR for the sum and AND for the carry
Is a geometric Steiner tree NP-Complete?	Yes
What are the 2 algorithms for convex hull?	"- Graham scan
- Jarvis march (gift-wrapping method)"
How does a Graham scan work in finding convex hull?	At O(n log n), uses a sort and then a simple single pass of all the points, and making only left turns as it goes around the perimeter counter-clockwise. When the next point is a right turn, it backtracks past all points (using a stack and popping points off) until that turn turns into a left turn.
How does the Jarvis march work in finding convex hull?	"Starting with the leftmost point p: 
Go through each point to the right of that point, and using p as a pivot, find which point is the most clockwise. O(n)
Get the most clockwise point as the new p - O(1)
Loop again with new p

This continues until the starting point is reached O(h) - where h is the number of hull points"
What is the worst case time complexity of a Jarvis march?	"O(n^2)
Occurs when most points are part of the hull, and few points contained in the hull."
What is the average complexity of a Jarvis march?	O(n * h) where h is the number of points that compose the hull.
What is white-box testing?	The tester is using knowledge of the program's internals.
What is black-box testing?	The tester is testing without knowledge of the internals.
What is unit testing?	Testing a single module in isolation.
What can affect testing, apart from API inputs?	"- timing of inputs
- disk full
- network latency
- network failures"
What are 3 situations where timing of inputs is important in testing?	"- when SUT interacts directly with hardware devices
- when SUT interfaces with other machines on the network
- SUT is multithreaded"
What is a mock object?	An object used to replicate the interfaces and interactions of a larger system that can be bolted on to the SUT.
What is integration testing?	Testing units together to ensure the integrated behavior performs as expected.
What is system testing?	"- not concerned with internals
- does system as a while perform acceptably for the important use cases"
What is differential testing?	Running test inputs into 2 different implementations and then testing for equality. This is useful for testing multiple versions of the software.
What is stress testing?	"Testing code or a system beyond its normal usage.
Testing large inputs.
Testing many requests."
How can you tell you're testing enough?	Code coverage metrics (of which there are a few)
What does code coverage not tell you?	"- missing errors of omission
- code that misses a specification item
- does not tell us that code looped the correct number of times"
What should you do when you discover that not all code is covered?	"Don't blindly write tests to cover all cases.
Rethink the tests. Perhaps they are interpreting the functionality incorrectly."
What are some coverage metrics?	"- line coverage
- statement coverage (multiple statements on a line)
- branch coverage
- mc/dc coverage
- loop coverage"
What is mc/dc coverage?	"modified condition / decision

- Required for certain types of avionics software
- Tests every possible branch and condition"
What is path coverage?	Coverage that is concerned with the paths taken to arrive at a place in the code.
What is infeasible code?	"Code that can never be true.
Infeasible code is code that is either not forward- or not backward-reachable. Infeasible code is not necessarily an error but it is a good indicator that something is wrong with the code and, e.g., in avionics, infeasible code is forbidden by current standards."
Should you include integration tests in code coverage metrics?	No
What should you do before fixing a reported bug?	Write a test. Avoiding this practice allows bugs to re-appear.
Why should tests be idempotent and isolated?	It allows tests to be run in any order, re-run, and parallelized.
delete (unordered singly linked list)	O(n)
find (unordered singly linked list)	O(n)
delete (ordered singly linked list)	O(n)
find (Binary Search Tree)	O(h)
add (Binary Search Tree)	O(h)
Add element to the top of the stack - push	O(1)
Remove the top element of the stack - pop	O(1)
Return the value of the top element of the stack without removing it.	O(1)
Add an element to a queue.	O(1)
Remove an element from the front of the queue. dequeue	O(1)
Return the element from the front of the queue without removing it. - front	O(1)
find (unordered array)	O(n)
add (unordered array)	O(1)
delete (unordered array)	O(N)
find (sorted array)	"O(log n)
binary search"
add (sorted array)	O(n)
delete an element from a sorted array	O(N)
find (unordered singly linked list)	O(N)
add (unordered singly linked list)	O(1)
delete (unordered singly linked list)	O(N)
find (ordered singly linked list)	O(N)
add (ordered singly linked list)	O(N)
delete (ordered singly linked list)	O(N)
find (Binary Search Tree)	O(h)
add (Binary Search Tree)	O(h)
delete (Binary Search Tree)	O(h)
find (Balanced Binary Search Tree)	O(log N)
add (Balanced Binary Search Tree)	O(log N)
delete (Balanced Binary Search Tree)	O(log N)
find (Balanced Binary Search Tree)	O(log N)
add (Balanced Binary Search Tree)	O(log N)
delete (Balanced Binary Search Tree)	O(log N)
What is a skip list?	"A data structure for storing a sorted list of items using a hierarchy of linked lists that connect increasingly sparse subsequences of the items.
O(log N) expected time for all operations, O(N) worst case."
What is a treap?	"Tree + heap
A random priority is assigned to every key and must maintain two properties:
- They are in order with respect to their keys, as in a typical binary search tree
- They are in heap order with respect to their priorities, that is, no key has a key of lower priority as an ancestor
O(log N) expected time for all operations, O(N) worst case."
What is a max-heap?	"A queue in which each element has a ""priority"" assigned to it. Elements with higher priorities are served before lower priorities."
min (unordered sequence)	O(N)
insert (unordered sequence)	O(1)
removeMin (unordered sequence)	O(N)
min (ordered sequence)	O(1)
insert (ordered sequence)	O(N)
removeMin (ordered sequence)	O(1)
build (ordered sequence)	O(N log N)
min (binary heap)	O(1)
insert (binary heap)	O(log N)
removeMin (binary heap)	O(log N)
build (binary heap)	O(N)
What is a binary heap?	A collection of keys arranged in a complete heap-ordered binary tree, represented in level order in an array (not using the first entry). The parent of the node in position k is in position [k/2] and the two children of the node in position k are in position 2k and 2k+1.
What is a Adaptable Priority Queue?	A priority queue that allows you to change the priority of objects already in the queue.
What is the time complexity of quicksort?	"O(N^2 worst)
O(N log N) - best & expected"
Lower Bound for Comparison Based Sorting	No comparison based sorting algorithm can be faster than O(N log N)
k-th smallest (full heap)	Put all values in, do k removeMin operations: O(N + k log N)
What is a connected graph?	There exists a path from every vertex to every other vertex in the graph.
What is a tree?	An acyclic connected graph.
What is a cycle?	Path with at least one edge whose first and last vertices are the same.
What is a spanning tree?	A subgraph that contains all of that graph's vertices and a single tree.
Space required for an adjacency list	O(E + V)
is_adjacent (u,v) (adjacency matrix)	O(degree(u))
What is the complexity of an adjacency list DFS?	O(E)
What is another name for a Min-Cost Spanning Tree?	minimum spanning tree
Bitwise: Isolate the lowest bit that is 1 in x	x & ~(x - 1)
Bitwise: Replace the lowest bit that is 1 with 0	x & (x - 1)
Bitwise: Right propagate the rightmost set bit in x	x | (x & ~(x - 1) - 1)
What are heuristics?	Any approach to problem solving, learning, or discovery that employs a practical method not guaranteed to be optimal or perfect, but sufficient for the immediate goals. Where finding an optimal solution is impossible or impractical, heuristic methods can be used to speed up the process of finding a satisfactory solution. Heuristics can be mental shortcuts that ease the cognitive load of making a decision. Examples of this method include using a rule of thumb, an educated guess, an intuitive judgment, stereotyping, profiling, or common sense
What is stable sorting?	Items with the same key are sorted based on their relative position in the original permutation
What is another name for a trie?	Prefix tree or a radix tree.
What is internal sorting?	An internal sort is any data sorting process that takes place entirely within the main memory of a computer. This is possible whenever the data to be sorted is small enough to all be held in the main memory. For sorting larger datasets, it may be necessary to hold only a chunk of data in memory at a time, since it won't all fit. The rest of the data is normally held on some larger, but slower medium, like a hard-disk. Any reading or writing of data to and from this slower media can slow the sortation process considerably.
What is external sorting?	"External sorting is a term for a class of sorting algorithms that can handle massive amounts of data. External sorting is required when the data being sorted do not fit into the main memory of a computing device (usually RAM) and instead they must reside in the slower external memory (usually a hard drive). External sorting typically uses a hybrid sort-merge strategy. In the sorting phase, chunks of data small enough to fit in main memory are read, sorted, and written out to a temporary file. In the merge phase, the sorted subfiles are combined into a single larger file.

Mergesort is typically preferred."
What are 2 advantages of merge sort?	"- suitable for a linked list
- suitable for external sort"
What is disadvantages of merge sort?	Need an extra buffer to hold the merged data
What are 3 advantages of heap sort?	"- don't need recursion
- suitable for large data
- locality of data"
What is a disadvantage of heap sort?	Usually slower than merge sort and quick sort.
What is a articulation vertex?	The weakest point in a graph.
What is the chromatic number?	The smallest number of colors needed for an edge coloring of a graph.
What are long-term issues involved in machine learning?	"- technical debt
- lack of clear abstraction barriers 
- changing anything changes everything
- feedback loop - usage based on your model changes the model
- attractive nuisance (using a successful model in one domain where it doesn't fit in another)
- non-stationarity - stick with current data, or get new, and how much of old data to reuse
- tracking data dependencies - where did the data come from, how to get new data"
How many rows are in a 12 x 16 matrix?	12
How many columns are in a 12 x 16 matrix?	16
In linear algebra a vector of 12 elements has how many rows?	12
In linear algebra a vector of 12 elements has how many columns?	1
In linear algebra a 12-dimensional vector has how many rows?	12
In linear algebra a vector of 12-dimensional vector has how many columns?	1
When multiplying a 4x3 matrix and a 3x6 matrix, what are the dimensions of the final matrix?	4x6
Can you multiply a 3x2 and a 2x3 matrix?	Yes
Can you multiply a 3x2 and a 3x2 matrix?	No
Can you multiply a 3x2 and a 2x6 matrix?	Yes
When multiplying a 5x2 matrix and a 2x5 matrix, what are the dimensions of the final matrix?	5x5
Is matrix multiplication commutative? Does AxB = BxA?	No.
Is matrix multiplication associative? Does (AxB)xC = Ax(BxC)?	Yes
What would the identity matrix look like to multiply with an MxN matrix to get itself?	An NxN matrix that is all zeroes except it has 1s on a top-left to bottom-right diagonal.
What must at least be true about a matrix for it to have an inverse?	It must be square.
What does it mean to invert a matrix?	Multiplying it by a specific matrix so that the product is the identity matrix.
What Python library computes the inverse of a matrix?	"numpy.linalg.inv
or
numpy.linalg.pinv which can solve when the matrix is non-invertible"
What are 2 words for matrices that are invertible?	"- singular
- degenerate"
If A is a matrix and Aij is the ith row, jth column, what is the traspose B?	Bji
What is another name for quadratic?	2nd-order polynomial
What is supervised learning?	Supervised learning is the machine learning task of inferring a function from labeled training data. The training data consist of a set of training examples. In supervised learning, each example is a pair consisting of an input object (typically a vector) and a desired output value (also called the supervisory signal).
What is a regression problem?	One that predicts a continuously valued output. May refer specifically to the estimation of continuous response variables, as opposed to the discrete response variables used in classification.
What is a classification problem?	The problem of identifying to which of a set of categories (sub-populations) a new observation belongs, on the basis of a training set of data containing observations (or instances) whose category membership is known.
What is unsupervised learning?	Unsupervised learning is the machine learning task of inferring a function to describe hidden structure from unlabeled data. Since the examples given to the learner are unlabeled, there is no error or reward signal to evaluate a potential solution. This distinguishes unsupervised learning from supervised learning and reinforcement learning.
What are the 2 types of problems that utilize supervised learning?	Regression and classification
In machine learning, what is the symbol m used for?	the number of training examples.
What is another term for linear regression with one variable?	Univariate linear regression
What is gradient descent?	Gradient descent is a first-order iterative optimization algorithm. To find a local minimum of a cost function using gradient descent, one takes steps proportional to the negative of the gradient (partial derivative or tangent) of the function at the current point.
What is it called when all training examples are used to calculate gradient descent?	batch gradient descent
What is another term for linear regression with multiple variables?	Multivariate linear regression
Why is feature scaling important?	Without feature scaling, it can take gradient descent much longer to find the local minimum. The function may oscillate in small movements for much longer.
What is is good range to scale features down to?	-1 to +1, or Ng's range: -3 to +3
What is mean normalization?	A method of scaling a feature's values so that they all fall within a range relative to each other.
What is a good range for mean normalization?	-0.5 to +0.5
How can you calculate mean normalization over a set of features?	"for each x: xi = (xi - avg(x)) / (max_x - min_x)

(max_x - min_x) can be replaced with the standard deviation"
Given a sufficiently small alpha, what can you expect from gradient descent?	That it will eventually converge.
What does Andrew Ng use to find an appropriate alpha for gradient descent?	"0.001
0.003
0.01
0.03
0.1
0.3
1"
How can you get your data to fit better using higher order terms in linear regression?	"You can take the data and square it, cube it, etc. 

x1 = (somevalue)^2
x7 = (somevalue)^4

This is applied to data, not the function. The function still is theta1*x1 + theta2*x2, etc"
What can affect invertibility in a matrix?	"- 2 more more features are linearly dependent or redundant (size in meters and size in ft) - remove redundant features
- too few training examples (m) to features (n): m <= n  (remove some features or use regularization)"
When can we use the normal equation instead of gradient descent to minimize J(theta)?	"- when we have fewer than 10,000 features
- have to ensure invertibility"
What does numpy.allclose() do?	Returns True if two arrays are element-wise equal within a tolerance.
Is feature scaling needed when using the normal equation?	No
What is the normal equation?	"An equation that can minimize J(theta), solving for theta, instead of using gradient descent.

Also called ordinary least squares (OLS) or linear least squares, it's a method for estimating the unknown parameters in a linear regression model, with the goal of minimizing the sum of the squares of the differences between the observed responses in the given dataset and those predicted by a linear function of a set of explanatory variables."
What Python determines the pseudo-inverse of a matrix?	numpy.linalg.pinv
What is treated as false in Python?	"• False
• None
• [] (an empty list)
• {} (an empty dict)
• """"
• set()
• 0
• 0.0"
What is a dot product?	"The dot product of two vectors is the sum of their componentwise products.
v_1 * w_1 + ... + v_n * w_n"
What is the quantile?	The number at a given percentile of the data.
What is the mode?	Most-common value(s) in a set of data. Could have more than one if there are 2 subsets with the same number of values.
What is dispersion?	Dispersion refers to measures of how spread out our data is. Typically they’re statistics for which values near zero signify not spread out at all and for which large values (whatever that means) signify very spread out.
What is covariance?	The mean value of the product of the deviations of two variates from their respective means.
What is a random variable?	"A random variable is a variable whose possible values have an associated probability distribution.

A very simple random variable equals 1 if a coin flip turns up heads and 0 if the flip turns up tails. A more complicated one might measure the number of heads observed when flipping a coin 10 times or a value picked from range(10) where each number is equally likely."
What is PCA and what is it used for?	Principal component analysis. We use it to extract one or more dimensions that capture as much of the variation in the data as possible.
What is a model?	A specification of a mathematical (or probabilistic) relationship that exists between different variables.
What is machine learning?	Creating and using models that are learned from data.
What is the degree of a vertex?	The number of edges incident of the vertex, with loops counted twice.
What is quick select?	A selection algorithm to find the kth smallest element in an unordered list. Quickselect uses the same overall approach as quicksort, choosing one element as a pivot and partitioning the data in two based on the pivot, accordingly as less than or greater than the pivot. However, instead of recursing into both sides, as in quicksort, quickselect only recurses into one side - the side with the element it is searching for. This reduces the average complexity from O(n log n) to O(n).
What is preemption?	Preemption is the act of temporarily interrupting a task being carried out by a computer system, without requiring its cooperation, and with the intention of resuming the task at a later time. Such a change is known as a context switch.
What is an inverted index?	An index data structure storing a mapping from content, such as words or numbers, to its locations in a database file, or in a document or a set of documents (named in contrast to a Forward Index, which maps from documents to content). The purpose of an inverted index is to allow fast full text searches, at a cost of increased processing when a document is added to the database.
What is set partition?	A partitioning of elements of some universal set into a collection of disjointed subsets. Thus, each element must be in exactly one subset.
What is a maximum spanning tree?	A spanning tree of a weighted graph having maximum weight. It can be computed by negating the edges and running either Prim's or Kruskal's algorithms.
What is a minimum product spanning tree and when would you use it?	"The cost of a tree is the product of all the edge weights in the tree, instead of the sum of the weights. Since log(a*b) = log(a) + log(b), the minimum spanning tree on a graph whose edge weights are replaced with their logarithms gives the minimum product spanning tree on the original graph.
You would use it to minimize the product."
What is a rolling hash?	"A rolling hash (also known as a rolling checksum) is a hash function where the input is hashed in a window that moves through the input.

One of the main applications is the Rabin-Karp string search algorithm, which uses the rolling hash."
What is the Rabin-Karp algorithm?	Compute hash codes of each substring whose length is the length of s, such as a function with the property that the hash code of a string is an additive function of each individual character. Get the hash code of a sliding window of characters and compare if the hash matches.
What is sharding?	Sharding is a type of database partitioning that separates very large databases the into smaller, faster, more easily managed parts called data shards.
What is von Neumann Architecture?	"A model for modern computer organization created by John von Neumann, that had two main features:
1) Both data & instructions are stored in the same place
2) Units that store information are different from units that process information"
What is the fetch-execute cycle?	"A 4 part system that describes how actions are performed in the CPU. There are 4 parts to this cycle:
1) Fetch instructions
2) Decode instructions
3) Get data if needed
4) Execute the instructions"
What does a Control Unit (CU) do?	Controls, organizes and deals with all the process and instruction the CPU receives. It is also in charge of the Fetch-Execute Cycle. Has two special purpose registers: the Instruction Register and the Program Counter.
What is the time complexity of breadth-first search?	"O(m + n) 
uses queue"
What is the time complexity of breadth-first search?	"O(m + n) 
uses stack"
What is the time and space complexity of minimum edit distance using dynamic programming?	"Time O(mn)
Space O(mn)"
What is the time complexity of Floyd-Warshall?	Theta(n^3)
What is the log of n! ?	n log n
What is the time and space complexity of Bellman-Ford?	"Time : O (|V| |E|) or Theta(n^3) 
Space: O (|V|)"
What is the Bellman–Ford algorithm?	An algorithm that computes shortest paths from a single source vertex to all of the other vertices in a weighted digraph. It is slower than Dijkstra's algorithm for the same problem, but more versatile, as it is capable of handling graphs in which some of the edge weights are negative numbers.
What is a Hamiltonian cycle?	"Given an undirected graph G = (V, E), does there exist a simple
cycle Γ that contains every node in V ?
Certificate is a permutation of the n nodes, contain each node in v exactly once, there is an edge btw each pair of adj nodes in the permutation."
What is the set cover problem?	"Given a set U of elements, a collection S1, S2, ..., Sm of subsets of
U, and an integer k, does there exist a collection of ≤ k of these sets whose union is equal to U ?"
What is the time and space complexity of heapsort?	"O(n lg n) time
O(1) space"
What is the time and space complexity of merge sort?	"O(n lg n) time
O(n) space"
How would you divide up a data set for training and testing?	Split your data set, so that two-thirds of it is used to train the model, after which we test/measure the model’s performance on the remaining third.
How would you split up a data set in order to choose from multiple models?	In such a situation, you should split the data into three parts: a training set for building models, a validation set for choosing among trained models (called the cross-validation set), and a test set for judging the final model.
What is a Type 1 error?	A false positive
What is a Type 2 error?	A false negative
In statistics, how would you calculate precision?	true_pos / (true_pos + false_pos)
In statistics, how would you calculate recall?	true_pos / (true_pos + false_neg)
In statistics, what does precision measure?	Precision measures how accurate our positive predictions are.
In statistics, what does recall measure?	Recall measures what fraction of the positives our model identified.
How would you calculate the F1 score?	2 * precision * recall / (precision + recall)
What is another name for the F1 score?	the harmonic mean of precision and recall
What is the trade-off between precision and recall?	"A model that predicts “yes” when it’s even a little bit confident will probably have a high recall but a low precision; a model that predicts “yes” only when it’s extremely confident is likely to have a low recall and a high precision.

Alternatively, you can think of this as a trade-off between false positives and false negatives. Saying “yes” too often (high recall) will give you lots of false positives; saying “no” too often will give you lots of false negatives (high precision)."
High bias and low variance typically correspond to _______.	underfitting
Low bias but very high variance typically correspond to _______.	overfitting
What can you do when your model has high bias (which means it performs poorly even on your training data)?	One thing to try is adding more features.
What can you do if your model suffers from overfitting due to high variance?	"You can remove features. Another solution is to obtain more training examples (if you can).
Or use regularization."
What does BFGS stand for?	Broyden–Fletcher–Goldfarb–Shanno algorithm
What is L-BFGS?	Limited-memory BFGS (L-BFGS or LM-BFGS) is an optimization algorithm in the family of quasi-Newton methods that approximates the Broyden–Fletcher–Goldfarb–Shanno (BFGS) algorithm using a limited amount of computer memory. It is a popular algorithm for parameter estimation in machine learning.
What are some alternative algorithms that can optimize for a logistic regression problem?	"- conjugate gradient
- BGFS
- L-BGFS"
What makes neural networks superior over regression or classification?	Each hidden layer learns its own features instead of being given features.
How should you initialize Theta for a neural network?	Initialize as a matrix of random reals between 0 and 1. Constrain within a range of +/- epsilon using Theta * 2*epsilon - epsilon.
What are the number of neurons (units) at the input layer of a neural network?	The number of features.
What are the number of neurons (units) at the output layer of a neural network performing classification?	The number of classes you are classifying.
How many hidden layers should there be in a neural network?	Start with 1 as a default, and if more than one, have the same number of units at each layer. The more the better. The number of units in each hidden layer should be more than, or a multiple of, the input units.
Machine learning: What tends to happen with the training error in a linear model as the degree of polynomial increases?	The error decreases, but too high a degree of polynomial will cause overfitting.
Machine learning: What tends to happen with the cross-validation error in a linear model as the degree of polynomial increases?	It starts high (high bias) and decreases, reaching a minimum, and then increases (high variance).
What command on the terminal will execute the previously run command?	!!
What alias for ls -alF is included in Ubuntu's .bashrc?	ll
How can you view your command line history?	history
What command line tool allows you to search running processes by name?	pgrep
What command line tool allows you to find and kill running processes by name?	"pkill
killall"
What command line tool allows you to get the IP address from a domain name?	dig
What command line tool allows you to see the internet connections between you and a given server IP or domain name?	traceroute
What command line command allows you to display bandwidth usage on an interface by host?	iftop -p -n
On the command line, how can you list all files beginning with a or f?	ls [af]*
How can you tell what a given command line command is an alias for?	type [command]
How can you create an alias for a command or set of commands?	"alias wowza='command 1; command 2; command 3'

To preserve it, add it to ~/.bashrc"
How can you redirect errors form a command to a file?	somecommand 2> errorfile.txt
How can you redirect stdout and errors from a command to a file?	"somecommand > somefile.txt 2>&1

OR:

somecommand &> somefile.txt"
How can you throw away errors from a command?	somecommand 2> /dev/null
What command can you use with pipes to save to a file but continue piping to the next command?	somecommand | tee file.txt | morecommand
How can you make multiple directories at once from the command line?	mkdir {2009..2016}
How can you get a list of environment variables from the command line?	printenv
What command can you use when your terminal is messed up by binary output?	reset
How can you find out your computer's IP address from the command line?	curl ifconfig.me
How can you get quick access to an ASCII table from the command line?	man ascii
How do you show only repeated lines using uniq?	uniq -d
What does sed stand for and what does it do?	Stream editor. It does many things but is mainly used for search and replace.
Is there much difference between grep, egrep, and grep -P?	"Yes, grep doesn't support fancy regex.
egrep does extended
grep -P does perl-style but that's pretty close to egrep - can't see a difference"
What can you use as a delimiter in sed?	/, :, |, _ are all ok
What flag do you use with sed to turn on extended regular expressions?	sed -r
What are the 4 parts of compiling a C program?	"- preprocessor
- compiler - outputs assembly
- assembler - outputs machine/object code
- linked - links in dependent object files"
What is the grep flag for line numbers?	-n
What is the grep flag for showing matched portion only?	-o
What command can you use to format in tab-stopped columns?	column -t
How can you print the 1st, 2nd, and 4th columns in the /etc/passwd file that contain the word home?	awk -F: '/home/ {print $1, $2, $4}' /etc/passwd
How can you print the 1st and 2nd column of a file only when the second column contains the word foo?	awk '{ if($2 ~ /foo/) print $1,$2}' somefile
What is strace?	strace is a diagnostic, debugging and instructional userspace utility for Linux. It is used to monitor interactions between processes and the Linux kernel, which include system calls, signal deliveries, and changes of process state. The operation of strace is made possible by the kernel feature known as ptrace.
What is tcpdump?	tcpdump is the premier network analysis tool for information security professionals. Having a solid grasp of this über-powerful application is mandatory for anyone desiring a thorough understanding of TCP/IP.
What Linux command randomizes the lines of its input?	shuf
In Linux, how can you search a set of files of phone numbers, which are badly formatted, and output the numbers, using regular phone number formatting and no blank lines?	cat numbers-* | sed 's/[() -]//g' | grep -P '^\d{10}$' | sed -r 's/([0-9]{3})([0-9]{3})(.*)/(\1) \2-\3/'
How can we avoid deadlock?	We can prevent deadlock by assigning an order to locks and require that the locks be acquired in that order. However, this approach is not often used in practice.
How can you tell if 2 rectangles do not overlap?	The intersection of R1 and R2 will be a rectangle R3 whose bottom-left corner is at (max(x1, x3), max(y1, y3)) and top-right corner at (min(x2, x4), min(y2, y4)). If max(x1, x3) > min(x2, x4) or max(y1, y3) > min(y2, y4) then R3 does not exist, ie R1 and R2 do not intersect.
What happens to a class when you add __slots__?	"Space is saved because __dict__ is not created for each instance. __slots__ reserves space for the declared variables and prevents the automatic creation of __dict__ and __weakref__ for each instance.
If weak reference support is needed, then add '__weakref__' to the sequence of strings in the __slots__ declaration."
What happens when inheriting from a class without __slots__?	When inheriting from a class without __slots__, the __dict__ attribute of that class will always be accessible, so a __slots__ definition in the subclass is meaningless.
If you use __slots__ on a class, what happens in subclasses?	The action of a __slots__ declaration is limited to the class where it is defined. As a result, subclasses will have a __dict__ unless they also define __slots__ (which must only contain names of any additional slots).
How can you make a weak reference in Python?	"from weakref import ref

r = ref(some_instance)"
What 4 things should you check when given a debugging problem?	"- is the input valid and correct?
- check that each line is correct and in the right order
- check that the output is correct
- check for common errors, and special cases for and algorithm or data structure"
What determines the height of a tree?	"The height of a tree equals the height of its tallest subtree plus one.
Use 1 + max(subtree1, subtree2)"
What is Timsort?	"A hybrid stable sorting algorithm, derived from merge sort and insertion sort, designed to perform well on many kinds of real-world data.
The algorithm finds subsequences of the data that are already ordered, and uses that knowledge to sort the remainder more efficiently. This is done by merging an identified subsequence, called a run, with existing runs until certain criteria are fulfilled. Timsort has been Python's standard sorting algorithm since version 2.3."
What is concurrency?	Running tasks at almost the same time in an unspecified order. This is achieved through context switches by the operating system.
What is a mutex?	A mutually exclusive access to a resource. It's a special case of a semaphore with a maximum concurrency of 1.
What is busy waiting?	Busy-waiting, busy-looping or spinning is a technique in which a process repeatedly checks to see if a condition is true, such as whether keyboard input or a lock is available.
How can you avoid busy waiting?	"Use Semaphore (Python, Java)
Use Event (Python) or CountDownLatch (Java)
sleep(0)"
